,image_id,color_os_mean,color_os_std,color_endo_mean,color_endo_std,color_zone_mean,color_zone_std,norm_os_mean,norm_os_std,norm_endo_mean,norm_endo_std,norm_zone_mean,norm_zone_std,norm_sqr_os_mean,norm_sqr_os_std,norm_sqr_endo_mean,norm_sqr_endo_std,norm_sqr_zone_mean,norm_sqr_zone_std
0,48,175.72751895991334,4.79029026712961,173.87940998878634,6.656534132941419,151.9129565593257,7.052217986500879,2.1841799076455812,0.37488189896851193,2.039549298233268,0.5209317217015064,0.3204831631921493,0.5518974265214008,4.911178307136898,1.3942964529440285,4.431131198598712,1.8566560851495373,0.4073002272905909,0.7022544190824079
1,0,180.1094890510949,3.897741873153497,182.51980198019803,4.948957682078721,176.41035422343325,6.977738180797369,1.3997194238267552,0.22285337504618732,1.5375290553130783,0.2829566344576061,1.1882214057631997,0.39895215085683494,2.0088780922073797,0.625773134687793,2.444060052915502,0.8439075336434579,1.571032927787169,0.9830486964502384
2,7,181.58238636363637,2.994128152931615,181.05993051534452,8.51080913564661,160.02686786897314,13.614868051579425,2.2732106463340087,0.12337967302189552,2.2516816975254854,0.350706714834401,1.384967829778216,0.5610307517383298,5.182709186321271,0.5636929268421126,5.193065666801187,1.5294094654467938,2.232891393916657,1.7280018542490054
3,10,171.63853503184714,3.140283632629186,166.71163298743855,7.659098679469414,150.54619645277236,4.781524235364421,2.838190183928755,0.300515120361163,2.3667013841595854,0.7329512970112544,0.8197207052714655,0.4575766074662826,8.145632857715224,1.6354043935478342,6.1384930455733775,3.2094887356263007,0.881318386351101,0.8700087431986243
4,13,181.79510022271714,6.705904259585762,190.03033481242437,5.537331062159947,180.00655799683005,8.738437951603284,-0.09054589266054333,0.7338364560274802,0.8106473143893544,0.605957861193406,-0.2862685629662418,0.9562594527731457,0.5467145028726665,2.3688258192800538,1.02433399786876,0.975711954298823,0.9963818311607531,2.04737869720789
5,14,161.25298804780877,7.324285657610539,162.76856047403277,8.79126130946002,155.81799524735365,7.064865664084862,1.8526883291846525,0.60875412134712,1.9786543282995621,0.7306810253109651,1.4009617825375948,0.5871925660499826,3.803035625354124,2.2200823867073542,4.448967711648075,2.7710055491515404,2.3074890257552787,1.4480048594467163
6,34,176.0560224089636,6.061514623335459,178.94454828660437,5.697245593308414,166.39564448790762,4.802454894172124,1.81646184120521,0.370473458633869,1.99300553345719,0.3482097150296238,1.226029607263901,0.29352103972951743,3.4367842041067624,1.261969577102124,4.093321062031989,1.3134496732274572,1.5893031986515722,0.744525875794004
7,55,193.7918326693227,3.7855214090709235,184.8527036276523,12.998117639233813,162.11779344670262,12.263448955433052,2.9654008201610207,0.2102847991911901,2.468834362772223,0.7220422927948997,1.2059155979820126,0.6812316250028991,8.837821720982534,1.178297582686146,6.616488183389444,3.240608781205535,1.9183089563604054,2.147959392926934
8,57,173.7357512953368,4.201323609104619,179.86524163568774,4.819903363765293,156.75493676878338,7.902610620761801,1.827168160377579,0.37141707244847433,2.3690443807384125,0.4261024770800227,0.32598305633673064,0.6986285215218417,3.476494128003781,1.308601796851852,5.793934598881982,1.8520941855095898,0.5943467641024308,1.3865442942007105
9,81,177.952861299709,4.274289756051474,185.09164920199902,6.192774744859631,160.0853197641327,10.39931815091107,0.9073100515276918,0.30434539346944517,1.4156184108150691,0.4409486894807628,-0.3649256342438991,0.7404702898234812,0.915837648129254,0.5052941373897293,2.1984112317933837,0.9431882178066796,0.6814669686395823,0.7291059329183416
